Distritos;Indicadores de renta media y mediana;Periodo;Total
Sant Andreu;Renta neta media por hogar;2018;35.189
Sant Andreu;Renta neta media por hogar;2017;33.814
Sant Andreu;Renta neta media por hogar;2016;33.353
Sant Andreu;Renta neta media por hogar;2015;32.722
Sant Andreu;Media de la renta por unidad de consumo;2022;23.651
Sant Andreu;Media de la renta por unidad de consumo;2021;22.757
Sant Andreu;Media de la renta por unidad de consumo;2020;21.878
Sant Andreu;Media de la renta por unidad de consumo;2019;21.829
Sant Andreu;Media de la renta por unidad de consumo;2018;21.118
Sant Andreu;Media de la renta por unidad de consumo;2017;20.362
Sant Andreu;Media de la renta por unidad de consumo;2016;19.958
Sant Andreu;Media de la renta por unidad de consumo;2015;19.490
Sant Andreu;Mediana de la renta por unidad de consumo;2022;22.050
Sant Andreu;Mediana de la renta por unidad de consumo;2021;20.650
Sant Andreu;Mediana de la renta por unidad de consumo;2020;19.950
Sant Andreu;Mediana de la renta por unidad de consumo;2019;19.950
Sant Andreu;Mediana de la renta por unidad de consumo;2018;19.250
Sant Andreu;Mediana de la renta por unidad de consumo;2017;18.550
Sant Andreu;Mediana de la renta por unidad de consumo;2016;17.850
Sant Andreu;Mediana de la renta por unidad de consumo;2015;17.850
Sant Andreu;Renta bruta media por persona;2022;20.018
Sant Andreu;Renta bruta media por persona;2021;19.122
Sant Andreu;Renta bruta media por persona;2020;18.187
Sant Andreu;Renta bruta media por persona;2019;18.042
Sant Andreu;Renta bruta media por persona;2018;17.387
Sant Andreu;Renta bruta media por persona;2017;16.709
Sant Andreu;Renta bruta media por persona;2016;16.310
Sant Andreu;Renta bruta media por persona;2015;15.853
Sant Andreu;Renta bruta media por hogar;2022;48.624
Sant Andreu;Renta bruta media por hogar;2021;46.281
Sant Andreu;Renta bruta media por hogar;2020;44.517
Sant Andreu;Renta bruta media por hogar;2019;44.441
Sant Andreu;Renta bruta media por hogar;2018;42.731
Sant Andreu;Renta bruta media por hogar;2017;40.948
Sant Andreu;Renta bruta media por hogar;2016;40.144
Sant Andreu;Renta bruta media por hogar;2015;39.262
Sant Martí;Renta neta media por persona;2022;16.943
Sant Martí;Renta neta media por persona;2021;16.050
Sant Martí;Renta neta media por persona;2020;15.377
